describe,evaluate,introduce,movie_name,serial_number,star
电影诗。,435081人评价,"
导演:王家卫KarWaiWong   主演:张国荣LeslieCheung/林青霞Brigitte...
1994 / 中国香港中国台湾 / 剧情动作爱情武侠古装
",东邪西毒,167,8.6
穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,982491人评价,"
导演:新海诚MakotoShinkai   主演:神木隆之介RyûnosukeKamiki/上...
2016 / 日本 / 剧情爱情动画
",你的名字。,168,8.4
一个针管引发的血案。,440242人评价,"
导演:克里斯托弗·诺兰ChristopherNolan   主演:盖·皮尔斯GuyPearce/...
2000 / 美国 / 犯罪剧情悬疑惊悚
",记忆碎片,169,8.6
当这个世界闭上双眼，他却敞开了怀抱。,209618人评价,"
导演:特瑞·乔治TerryGeorge   主演:唐·钱德尔DonCheadle/苏菲·奥...
2004 / 英国南非意大利 / 剧情历史战争
",卢旺达饭店,170,8.9
这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,397171人评价,"
导演:达米恩·查泽雷DamienChazelle   主演:迈尔斯·特勒MilesTeller/...
2014 / 美国 / 剧情音乐
",爆裂鼓手,171,8.7
偷情本没有这样美。,406233人评价,"
导演:王家卫KarWaiWong   主演:梁朝伟TonyLeungChiuWai/张曼玉Ma...
2000 / 中国香港 / 剧情爱情
",花样年华,172,8.6
黑暗之美。,633651人评价,"
导演:达伦·阿罗诺夫斯基DarrenAronofsky   主演:娜塔莉·波特曼Natalie...
2010 / 美国 / 剧情惊悚
",黑天鹅,173,8.6
养狗三日，便会对你终其一生。,131840人评价,"
导演:SeijirôKôyama   主演:山本圭KeiYamamoto/井川比佐志Hisa...
1987 / 日本 / 剧情
",忠犬八公物语,174,9.2
不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,297621人评价,"
导演:AndyWachowski/LarryWachowski   主演:基努·里维斯KeanuReeves...
2003 / 美国澳大利亚 / 动作科幻
",黑客帝国3：矩阵革命,175,8.7
他给机器起名“克里斯托弗”，因为这是他初恋的名字。,433144人评价,"
导演:莫滕·泰杜姆MortenTyldum   主演:本尼迪克特·康伯巴奇BenedictC...
2014 / 英国美国 / 剧情传记战争同性
",模仿游戏,176,8.7
惠及一生的美丽。,261587人评价,"
导演:汉内斯·赫尔姆HannesHolm   主演:罗夫·拉斯加德RolfLassgård...
2015 / 瑞典 / 剧情
",一个叫欧维的男人决定去死,177,8.8
愿我们都不用长大，每一座城堡都能永远存在。,418024人评价,"
导演:彼特·道格特PeteDocter/罗纳尔多·德尔·卡门RonaldoDelCarmen  &nb...
2015 / 美国 / 喜剧动画冒险
",头脑特工队,178,8.7
魔法的密室之门已打开...,413635人评价,"
导演:ChrisColumbus   主演:丹尼尔·雷德克里夫DanielRadcliffe/艾玛...
2002 / 美国英国德国 / 奇幻冒险
",哈利·波特与密室,179,8.6
感情不分食草或者食肉。,247357人评价,"
导演:藤森雅也MasayaFujimori   主演:山口胜平KappeiYamaguchi/爱河...
2010 / 日本 / 剧情动画儿童
",你看起来好像很好吃,180,8.9
生活在自己的世界里，也可以让周围的人显得可笑和渺小。,308359人评价,"
导演:巴瑞·莱文森BarryLevinson   主演:达斯汀·霍夫曼DustinHoffman...
1988 / 美国 / 剧情
",雨人,181,8.7
好的剧本是，就算你猜到了结局也猜不到全部。,187299人评价,"
导演:今敏SatoshiKon   主演:岩男润子JunkoIwao/松本梨香RicaMatsu...
1997 / 日本 / 动画奇幻惊悚
",未麻的部屋,182,8.9
迪士尼和皮克斯拿错剧本的产物。,381032人评价,"
导演:瑞奇·莫尔RichMoore   主演:约翰·C·赖利JohnC.Reilly/萨拉...
2012 / 美国 / 喜剧动画奇幻冒险
",无敌破坏王,183,8.7
要做就做得狠一点，这样才能活下去。,232783人评价,"
导演:朴勋政Hoon-jungPark   主演:李政宰Jung-JaeLee/崔岷植Min-sik...
2013 / 韩国 / 剧情犯罪
",新世界,184,8.8
松鼠才是角儿。,456953人评价,"
导演:卡洛斯·沙尔丹哈CarlosSaldanha/克里斯·韦奇ChrisWedge   主演...
2002 / 美国 / 喜剧动画冒险
",冰川时代,185,8.6
爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,474597人评价,"
导演:尼克·卡索维茨NickCassavetes   主演:瑞恩·高斯林RyanGosling/...
2004 / 美国 / 剧情爱情
",恋恋笔记本,186,8.5
是枝裕和的家庭习作。,281352人评价,"
导演:是枝裕和HirokazuKoreeda   主演:绫濑遥HarukaAyase/长泽雅美M...
2015 / 日本 / 剧情家庭
",海街日记,187,8.8
有一些东西不应该被遗忘。,213494人评价,"
导演:郭柯KeGuo   主演:
2015 / 中国大陆 / 纪录片
",二十二,188,8.7
我们都有权利不与自己的过去和解。,353503人评价,"
导演:肯尼斯·罗纳根KennethLonergan   主演:卡西·阿弗莱克CaseyAffle...
2016 / 美国 / 剧情家庭
",海边的曼彻斯特,189,8.6
故事的反转与反转，分裂电影的始祖。,165087人评价,"
导演:阿尔弗雷德·希区柯克AlfredHitchcock   主演:安东尼·博金斯Antho...
1960 / 美国 / 悬疑惊悚恐怖
",惊魂记,190,9.0
被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,286793人评价,"
导演:伦尼·阿伯拉罕森LennyAbrahamson   主演:布丽·拉尔森BrieLarson...
2015 / 爱尔兰加拿大英国美国 / 剧情家庭
",房间,191,8.8
永远看不腻的喜剧。,169989人评价,"
导演:杰拉尔·乌里GérardOury   主演:路易·德·菲耐斯LouisdeFunès...
1966 / 法国英国 / 喜剧战争
",虎口脱险,192,8.9
不要企图在重复中寻找已经失去的爱。,566322人评价,"
导演:克里斯托弗·史密斯ChristopherSmith   主演:梅利莎·乔治Melissa...
2009 / 英国澳大利亚 / 剧情悬疑惊悚
",恐怖游轮,193,8.5
世界不完美，爱会有奇迹。,415393人评价,"
导演:斯蒂芬·卓博斯基StephenChbosky   主演:雅各布·特伦布莱JacobTr...
2017 / 美国中国香港 / 剧情儿童家庭
",奇迹男孩,194,8.6
宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,335481人评价,"
导演:宫崎骏HayaoMiyazaki   主演:高山南MinamiTakayama/佐久间玲Re...
1989 / 日本 / 动画奇幻冒险
",魔女宅急便,195,8.6
对爱的执着，可以超越一切。,315573人评价,"
导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:海利·乔·奥斯蒙Haley...
2001 / 美国 / 剧情科幻
",人工智能,196,8.6
骨灰级歌舞片。,147841人评价,"
导演:斯坦利·多南StanleyDonen/吉恩·凯利GeneKelly   主演:吉恩·...
1952 / 美国 / 喜剧歌舞爱情
",雨中曲,197,9.0
中国版《两杆大烟枪》。,573379人评价,"
导演:宁浩HaoNing   主演:郭涛TaoGuo/刘桦HuaLiu/连晋TeddyLin
2006 / 中国大陆中国香港 / 喜剧犯罪
",疯狂的石头,198,8.5
我们组成了家。,585689人评价,"
导演:是枝裕和HirokazuKoreeda   主演:中川雅也LilyFranky/安藤樱Sa...
2018 / 日本 / 剧情犯罪家庭
",小偷家族,199,8.7
所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,229233人评价,"
导演:理查德·林克莱特RichardLinklater   主演:伊桑·霍克EthanHawke...
2013 / 美国希腊 / 剧情爱情
",爱在午夜降临前,200,8.8
天使暂时离开。,197440人评价,"
导演:FrankDarabont   主演:汤姆·汉克斯TomHanks/大卫·摩斯DavidM...
1999 / 美国 / 犯罪剧情奇幻悬疑
",绿里奇迹,201,8.8
人生的N种可能性。,219071人评价,"
导演:黑泽明AkiraKurosawa   主演:三船敏郎ToshirôMifune/京町子...
1950 / 日本 / 剧情犯罪悬疑
",罗生门,202,8.8
少见的超越首部的续集，动作片中的经典。,252529人评价,"
导演:詹姆斯·卡梅隆JamesCameron   主演:阿诺·施瓦辛格ArnoldSchwarz...
1991 / 美国法国 / 动作科幻
",终结者2：审判日,203,8.7
大海啊，不全是水。,130124人评价,"
导演:雅克·贝汉JacquesPerrin/雅克·克鲁奥德JacquesCluzaud   主演:...
2009 / 法国瑞士西班牙美国阿联酋 / 纪录片
",海洋,204,9.1
黑小鸭速效美白记。,762105人评价,"
导演:普特鹏·普罗萨卡·那·萨克那卡林PuttipongPromsakaNaSakolnakorn/华森·波克彭...
2010 / 泰国 / 剧情喜剧爱情
",初恋这件小事,205,8.4
中国式内在的美国电影。,199601人评价,"
导演:茂文·勒鲁瓦MervynLeRoy   主演:费雯·丽VivienLeigh/罗伯特·...
1940 / 美国 / 剧情爱情战争
",魂断蓝桥,206,8.8
传奇，不是每个人都可以拥有。,214592人评价,"
导演:爱德华·兹威克EdwardZwick   主演:布拉德·皮特BradPitt/安东...
1994 / 美国 / 剧情爱情战争西部
",燃情岁月,207,8.8
坚硬的信仰。,209295人评价,"
导演:陆川ChuanLu   主演:多布杰Duobujie/张磊LeiZhang/亓亮QiL...
2004 / 中国大陆中国香港 / 剧情犯罪
",可可西里,208,8.8
现代科幻电影的开山之作，最伟大导演的最伟大影片。,200446人评价,"
导演:斯坦利·库布里克StanleyKubrick   主演:凯尔·杜拉KeirDullea/...
1968 / 英国美国 / 科幻惊悚冒险
",2001太空漫游,209,8.8
爱上未来的你。 ,295176人评价,"
导演:细田守MamoruHosoda   主演:仲里依纱RiisaNaka/石田卓也Takuya...
2006 / 日本 / 剧情爱情科幻动画
",穿越时空的少女,210,8.6
弱者送给弱者的一刀。,184107人评价,"
导演:杨德昌EdwardYang   主演:张震ChenChang/杨静怡LisaYang/张...
1991 / 中国台湾 / 剧情犯罪
",牯岭街少年杀人事件,211,8.8
永远的小人物，伟大的卓别林。,89177人评价,"
导演:CharlesChaplin   主演:查理·卓别林CharlesChaplin/弗吉尼亚·...
1931 / 美国 / 喜剧剧情爱情
",城市之光,212,9.3
来啊，互相伤害啊！,402015人评价,"
导演:保罗·格诺维瑟PaoloGenovese   主演:马可·贾利尼MarcoGiallini...
2016 / 意大利 / 剧情喜剧
",完美陌生人,213,8.5
昆汀同学越来越变态了，比北野武还杜琪峰。,352397人评价,"
导演:QuentinTarantino   主演:布拉德·皮特BradPitt/梅拉尼·罗兰M...
2009 / 德国美国 / 剧情犯罪
",无耻混蛋,214,8.6
嬉笑怒骂，调风动月。,317260人评价,"
导演:李惠民RaymondLee   主演:张曼玉MaggieCheung/林青霞Brigitte...
1992 / 中国香港中国大陆 / 动作爱情武侠古装
",新龙门客栈,215,8.6
邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,604928人评价,"
导演:邓肯·琼斯DuncanJones   主演:杰克·吉伦哈尔JakeGyllenhaal/...
2011 / 美国加拿大 / 科幻悬疑惊悚
",源代码,216,8.4
王家卫是一种风格，张国荣是一个代表。,359365人评价,"
导演:王家卫KarWaiWong   主演:张国荣LeslieCheung/张曼玉MaggieC...
1990 / 中国香港 / 犯罪剧情爱情
",阿飞正传,217,8.5
人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,367141人评价,"
导演:徐克HarkTsui   主演:张曼玉MaggieCheung/王祖贤JoeyWang/...
1993 / 中国香港中国大陆 / 剧情爱情奇幻古装
",青蛇,218,8.5
假戏真情，爱欲深海,483359人评价,"
导演:李安AngLee   主演:梁朝伟TonyLeungChiuWai/汤唯WeiTang/...
2007 / 中国台湾中国大陆美国中国香港 / 剧情爱情情色
",色，戒,219,8.5
一个单凭体香达到高潮的男人。,419437人评价,"
导演:汤姆·提克威TomTykwer   主演:本·卫肖BenWhishaw/艾伦·瑞克...
2006 / 德国法国西班牙美国 / 剧情犯罪奇幻
",香水,220,8.5
谁说王家卫镜头很晃？,260263人评价,"
导演:保罗·格林格拉斯PaulGreengrass   主演:马特·达蒙MattDamon/...
2004 / 美国德国 / 动作悬疑惊悚
",谍影重重2,221,8.7
用剩余不多的时间，去燃烧整个生命。,265808人评价,"
导演:罗伯·莱纳RobReiner   主演:杰克·尼科尔森JackNicholson/摩根...
2007 / 美国 / 冒险喜剧剧情
",遗愿清单,222,8.6
天使保护事件始末。,150004人评价,"
导演:阿米尔·汗AamirKhan   主演:达席尔·萨法瑞DarsheelSafary/阿...
2007 / 印度 / 剧情儿童家庭
",地球上的星星,223,8.9
每个美丽事物背后都是滴血的现实。,254161人评价,"
导演:爱德华·兹威克EdwardZwick   主演:莱昂纳多·迪卡普里奥Leonardo...
2006 / 美国德国 / 剧情惊悚冒险
",血钻,224,8.7
做一颗让别人需要你的棋子。,261323人评价,"
导演:安德鲁·尼科尔AndrewNiccol   主演:尼古拉斯·凯奇NicolasCage/...
2005 / 美国法国 / 剧情犯罪
",战争之王,225,8.6
哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,310990人评价,"
导演:道格·里曼DougLiman   主演:马特·达蒙MattDamon/弗兰卡·波坦...
2002 / 美国德国捷克 / 动作悬疑惊悚
",谍影重重,226,8.6
人们可以登上月球，却永远无法探索人们内心的宇宙。,273343人评价,"
导演:黄信尧Hsin-yaoHuang   主演:庄益增YizengZhuang/陈竹昇Chu-sh...
2017 / 中国台湾 / 剧情喜剧犯罪
",大佛普拉斯,227,8.7
不可猜的青春迷笛。 ,339102人评价,"
导演:丹尼·博伊尔DannyBoyle   主演:伊万·麦克格雷格EwanMcGregor/...
1996 / 英国 / 剧情犯罪
",猜火车,228,8.5
“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~,368229人评价,"
导演:乔治·米勒GeorgeMiller   主演:汤姆·哈迪TomHardy/查理兹·塞...
2015 / 澳大利亚美国 / 动作科幻冒险
",疯狂的麦克斯4：狂暴之路,229,8.6
小成本大魅力。,360425人评价,"
导演:詹姆斯·沃德·布柯特JamesWardByrkit   主演:艾米丽·芭尔多尼Em...
2013 / 美国英国 / 科幻悬疑惊悚
",彗星来的那一夜,230,8.5
日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,181111人评价,"
导演:是枝裕和HirokazuKoreeda   主演:阿部宽HiroshiAbe/夏川结衣Yu...
2008 / 日本 / 剧情家庭
",步履不停,231,8.8
当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,370164人评价,"
导演:史蒂芬·戴德利StephenDaldry   主演:凯特·温丝莱特KateWinslet...
2008 / 美国德国 / 剧情爱情
",朗读者,232,8.6
世界离独裁只有五天。,203621人评价,"
导演:丹尼斯·甘塞尔DennisGansel   主演:尤尔根·沃格尔JürgenVogel...
2008 / 德国 / 剧情惊悚
",浪潮,233,8.7
宝莱坞的萝莉与大叔。,355403人评价,"
导演:卡比尔·汗KabirKhan   主演:萨尔曼·汗SalmanKhan/哈莎莉·马...
2015 / 印度 / 剧情喜剧动作
",小萝莉的猴神大叔,234,8.4
爱我就给我看你的播放列表。,303457人评价,"
导演:约翰·卡尼JohnCarney   主演:凯拉·奈特莉KeiraKnightley/马克...
2013 / 美国 / 喜剧爱情音乐
",再次出发之纽约遇见你,235,8.5
,381344人评价,"
导演:王晶JingWong   主演:周星驰StephenChow/吴孟达ManTatNg/...
1994 / 中国香港 / 喜剧古装
",九品芝麻官,236,8.5
过去的如果就让它过去了，未来只会越来越糟！,662188人评价,"
导演:周申ShenZhou/刘露LuLiu   主演:任素汐SuxiRen/大力DaLi...
2016 / 中国大陆 / 剧情喜剧
",驴得水,237,8.3
东京那么大，如果有一天走失了，恐怕一辈子不能再相见。,91319人评价,"
导演:小津安二郎YasujirôOzu   主演:笠智众ChishûRyû/原节...
1953 / 日本 / 剧情家庭
",东京物语,238,9.2
新闻人的理性求真。,208864人评价,"
导演:托马斯·麦卡锡ThomasMcCarthy   主演:马克·鲁弗洛MarkRuffalo/...
2015 / 美国 / 剧情传记
",聚焦,239,8.8
,350762人评价,"
导演:MikeNewell   主演:DanielRadcliffe/EmmaWatson/RupertGrint
2005 / 英国美国 / 奇幻冒险
",哈利·波特与火焰杯,240,8.5
诺兰的牛逼来源于内心散发出的恐惧。,131950人评价,"
导演:克里斯托弗·诺兰ChristopherNolan   主演:杰里米·西奥伯德Jeremy...
1998 / 英国 / 犯罪悬疑惊悚
",追随,241,8.9
只有有信仰的人才能说出事实真相。,196347人评价,"
导演:阿斯哈·法哈蒂AsgharFarhadi   主演:佩曼·莫阿迪PeymanMoadi/...
2011 / 伊朗法国 / 剧情家庭
",一次别离,242,8.7
一部能引人思考的科幻励志片。,174214人评价,"
导演:安德鲁·尼科尔AndrewNiccol   主演:伊桑·霍克EthanHawke/乌玛...
1997 / 美国 / 剧情科幻惊悚
",千钧一发,243,8.8
你要相信，这世上真的有爱存在，不管在什么年纪 ,110190人评价,"
导演:秋昌民Chang-minChoo   主演:宋在河Jae-hoSong/李顺载Soon-jae...
2011 / 韩国 / 剧情爱情
",我爱你,244,9.0
还原真实而残酷的战争。,209655人评价,"
导演:雷德利·斯科特RidleyScott   主演:乔什·哈奈特JoshHartnett/...
2001 / 美国 / 动作历史战争
",黑鹰坠落,245,8.7
,408545人评价,"
导演:布莱恩·辛格BryanSinger   主演:拉米·马雷克RamiMalek/本·哈...
2018 / 英国美国 / 剧情传记同性音乐
",波西米亚狂想曲,246,8.7
,381778人评价,"
导演:阿尼什·查甘蒂AneeshChaganty   主演:约翰·赵JohnCho/米切尔...
2018 / 美国俄罗斯 / 剧情犯罪悬疑惊悚
",网络谜踪,247,8.6
来也匆匆去也匆匆，就这样风雨兼程。,118452人评价,"
导演:陆庆屹LuQingYi   主演:陆运坤YunkunLu/李桂贤GuixianLi/...
2017 / 中国大陆 / 纪录片家庭
",四个春天,248,8.9
我完全康复了。,280371人评价,"
导演:StanleyKubrick   主演:MalcolmMcDowell/PatrickMagee/Michael...
1971 / 英国美国 / 犯罪剧情科幻
",发条橙,249,8.6
生病的E.T.皮肤的颜色就像柿子饼。,259392人评价,"
导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:亨利·托马斯HenryTho...
1982 / 美国 / 剧情科幻
",E.T. 外星人,250,8.6
